episode,reward,autonomy,skill,difficulty,frustration,performance,help_dependency
295,313,0.8847736625514403,3,3,0,2,0
296,497,0.8847590416325043,3,3,0,2,1
297,341,0.8845001362026695,3,3,0,2,0
298,360,0.8843334238392615,3,3,1,2,0
299,271,0.8834566119429912,3,3,0,2,0
300,362,0.8824586628324946,3,3,0,2,1
301,417,0.8825214899713467,3,2,0,2,0
302,390,0.8824946466809421,3,3,0,2,0
303,394,0.8826666666666667,3,3,0,2,0
304,400,0.8829155964927818,3,2,0,2,0
305,343,0.8829655781112091,3,3,0,2,0
306,391,0.8833098839254309,3,3,0,2,0
307,338,0.8832705284374727,3,3,1,2,0
308,420,0.8832416382848659,3,3,0,2,0
309,280,0.8830546847788228,3,3,1,2,1
310,412,0.883016575544563,3,3,0,2,0
311,474,0.8830854375648565,3,2,0,2,0
312,305,0.8829310344827587,3,3,0,2,0
313,355,0.8827977315689981,3,2,0,2,0
314,536,0.8829723482578546,3,2,0,2,0
315,418,0.8829351535836177,3,2,0,2,0
316,436,0.8827480656406768,3,3,1,2,0
317,388,0.8824576271186441,3,3,0,2,0
318,418,0.8825715975331587,3,2,0,2,0
319,418,0.8826204109127652,3,3,0,2,1
320,401,0.8825849769198489,3,2,0,2,0
321,429,0.882549774134181,3,3,0,2,0
322,191,0.8820927903871829,3,3,2,2,1
323,359,0.8819663949426052,3,3,0,2,0
324,425,0.8818603879953574,3,3,0,2,0
325,376,0.8816528925619834,3,3,0,2,0
326,351,0.8815193210842878,3,3,0,2,0
327,450,0.8814255214320906,3,3,0,2,0
328,414,0.8811589458176461,3,3,0,2,0
329,253,0.8810087325552926,3,3,0,2,1
330,377,0.880888454967049,3,3,0,2,0
331,330,0.8806781310837118,3,2,0,2,0
332,279,0.8799223740599984,3,2,0,2,0
333,253,0.8794549266247379,3,2,2,0,1
334,77,0.8793464262717321,3,3,0,2,0
335,279,0.8791940921496227,3,2,0,2,0
336,516,0.87936,3,3,0,2,0
337,365,0.8792374571269044,3,3,1,2,0
338,217,0.8790072388831437,3,3,1,2,1
339,273,0.8784994844952019,3,2,1,2,0
340,348,0.877894570457599,3,3,0,2,0
341,358,0.8775799590357649,3,3,0,2,1
342,402,0.8775430052627445,3,2,2,0,0
343,211,0.8773607084084319,3,3,0,2,1
344,363,0.877109375,3,3,0,2,1
345,491,0.8772681255353945,3,3,1,2,0
346,333,0.8771058147659343,3,3,0,2,0
347,260,0.8769254586268287,3,3,0,2,0
348,418,0.8767070442095517,3,3,0,2,0
349,365,0.8765289637664436,3,3,1,2,0
350,236,0.8763234617155132,3,3,0,2,0
351,418,0.876453488372093,3,2,2,2,1
352,339,0.8764113518462008,3,2,2,2,1
353,522,0.8765112919169645,3,3,1,2,0
354,321,0.8763934177599151,3,3,0,2,0
355,330,0.8760680529300567,3,3,1,2,1
356,169,0.8756976919595716,3,3,1,0,1
357,132,0.8752916384435915,3,3,1,2,0
358,24,0.8749718235780299,3,1,0,0,1
359,158,0.875,3,2,2,0,0
360,280,0.8748971808868616,3,3,2,1,1
361,420,0.8751864002385923,3,3,0,2,0
362,195,0.8753534752195267,3,3,0,0,0
363,334,0.8755845891173633,3,3,0,2,0
364,512,0.8758880994671403,3,3,0,2,0
365,375,0.8761440803070564,3,3,0,2,0
366,372,0.876389604652875,3,3,1,2,0
367,385,0.8766429253249137,3,3,0,2,0
368,395,0.8769591328548411,3,3,1,2,0
369,325,0.8772737234275696,3,2,1,2,0
370,460,0.8776134625191229,3,3,2,2,0
371,198,0.877717193747728,3,3,0,2,0
372,273,0.877774553895256,3,3,0,2,0
373,480,0.8780558368291624,3,3,0,2,0
374,347,0.8782545979084024,3,3,0,2,0
375,427,0.878622276551377,3,3,0,2,0
376,280,0.8788835473918347,3,3,0,2,0
377,523,0.8791672628416083,3,3,1,2,0
378,510,0.8795120559280925,3,2,2,2,0
379,380,0.8797495374982212,3,3,0,2,0
380,354,0.8799687677455991,3,1,0,2,0
381,417,0.8802208693189862,3,3,0,2,0
382,307,0.8804209634129114,3,3,0,2,0
383,525,0.8806958236495528,3,3,0,2,0
384,550,0.8810476792360087,3,3,0,2,0
385,336,0.8812609457092819,3,3,1,2,0
386,495,0.8815844627637278,3,3,1,2,0
387,493,0.8818447819423157,3,2,0,2,0
388,368,0.8819931892417819,3,2,0,2,0
389,534,0.8821287506063336,3,3,0,2,0
390,158,0.8821860947768938,3,3,0,2,0
391,490,0.882503104732993,3,3,0,2,0
392,363,0.8827092511013216,3,3,1,2,0
393,475,0.8830232717786778,3,3,0,2,0
394,492,0.8833436023824194,3,3,0,2,0
395,440,0.8835780129737112,3,3,0,2,0
396,460,0.8838793162160321,3,3,0,2,0
397,422,0.8841032608695653,3,3,1,2,0
398,425,0.8843339205854451,3,2,1,2,0
399,24,0.8843394694098539,3,3,0,0,0
400,186,0.8843399540602621,3,2,0,0,0
401,445,0.8845013477088949,3,3,0,2,0
402,185,0.8846438420663214,3,2,1,0,0
403,511,0.8849017372057146,3,3,0,2,0
404,248,0.8849474600093702,3,1,0,2,0
405,455,0.8851802403204272,3,2,0,2,0
406,447,0.8854707684112398,3,3,0,2,0
407,394,0.8856934112646121,3,3,0,2,0
408,432,0.8859376034973836,3,3,1,2,0
409,375,0.8861353423209093,3,3,0,2,0
410,415,0.8864055907172996,3,3,0,2,0
411,372,0.8866671051766098,3,2,0,2,0
412,413,0.886884062725543,3,3,1,2,0
413,317,0.8871432312123593,3,3,0,2,0
414,330,0.8873653281096964,3,3,0,2,0
415,399,0.8876441086432619,3,3,0,2,0
416,495,0.8879287941787942,3,2,0,2,0
417,321,0.8879092382495948,3,1,1,1,1
418,452,0.8881919296430419,3,2,0,2,0
419,353,0.8882007612412103,3,3,0,2,0
420,359,0.8882739091260137,3,3,0,2,0
421,363,0.8884965977660804,3,3,0,2,0
422,398,0.8886541170444359,3,3,0,2,0
423,359,0.8887185383927431,3,3,0,2,0
424,364,0.8889597144314125,3,2,2,0,0
425,283,0.8889949109414759,3,3,0,2,0
426,345,0.889255568953481,3,3,0,2,0
427,443,0.889444374129857,3,3,0,2,0
428,308,0.889555443293761,3,3,0,2,0
429,104,0.8895543087688331,3,3,2,2,0
430,296,0.8888260076715085,3,3,0,2,1
431,449,0.8886868180107864,3,3,0,2,1
432,200,0.8885342345725372,3,3,2,1,1
433,312,0.8886460154883837,3,2,0,2,0
434,479,0.8889304179904067,3,3,0,2,0
435,338,0.889040840430161,3,2,0,2,0
436,417,0.8892403100775194,3,3,0,2,0
437,552,0.889473033151905,3,3,0,2,0
438,464,0.8897390016659468,3,3,0,2,0
439,507,0.8900104634701791,3,2,0,2,0
440,467,0.8902124524131155,3,2,0,2,0
441,330,0.8903119063668117,3,3,0,0,0
442,418,0.8905600391293715,3,3,0,2,0
443,438,0.8906307185555691,3,2,0,2,0
444,333,0.8906135865595325,3,3,0,2,0
445,253,0.8907654921020656,3,2,2,1,0
446,450,0.8909157020786619,3,3,0,2,0
447,305,0.8911531716756365,3,1,0,2,0
448,399,0.8914158170959764,3,3,0,2,0
449,310,0.8915241993739466,3,3,0,2,0
450,24,0.8915749594082627,3,2,1,2,0
451,340,0.8915951766752654,3,3,1,2,1
452,436,0.8916152971452511,3,3,0,2,0
453,388,0.891728874290833,3,2,0,2,1
454,337,0.8917823729217568,3,3,0,2,0
455,333,0.8919143876337693,3,3,0,2,0
456,390,0.8917684734906891,3,3,1,2,1
457,384,0.8917415996213914,3,3,0,2,0
458,395,0.8918918918918919,3,3,1,2,0
459,459,0.891930072399788,3,3,0,2,1
460,306,0.8919109440169183,3,3,0,2,0
461,212,0.8918205804749341,3,2,1,2,0
462,370,0.8919503919503919,3,3,1,2,0
463,329,0.8919960301243505,3,3,1,2,0
464,344,0.8919832206944768,3,3,1,1,0
465,96,0.8918431463811962,3,1,0,2,0
466,269,0.8915277858428663,3,3,0,2,0
467,184,0.8912589844655692,3,2,2,2,1
468,226,0.8909585237461677,3,3,2,2,1
469,362,0.8911274028747908,3,2,1,2,0
470,482,0.8913268832066344,3,2,1,2,0
471,397,0.8913917940466614,3,3,1,2,0
472,142,0.891209547854028,3,3,2,0,1
473,274,0.8911860718171926,3,3,0,2,0
474,292,0.8910036579789666,3,3,0,2,0
475,374,0.8908914618148635,3,3,1,2,0
476,493,0.8909877105143378,3,3,0,2,0
477,270,0.8909142532651902,3,2,0,2,0
478,309,0.8909410231714917,3,3,0,2,0
479,269,0.8908299412030756,3,3,1,2,0
480,289,0.8909265319941316,3,2,2,0,0
481,318,0.8906030065874669,3,3,0,2,1
482,382,0.8905056179775281,3,3,1,2,1
483,380,0.890676683298761,3,3,0,2,0
484,459,0.8908653577222129,3,3,0,2,0
485,344,0.8908552925413131,3,3,2,2,1
486,295,0.8909009862372541,3,3,1,0,1
487,301,0.8908848228685835,3,3,0,2,0
488,392,0.8910039402852544,3,3,1,2,0
489,466,0.8909745293466224,3,2,0,2,0
490,436,0.8907734806629835,3,3,0,2,0
491,374,0.8907567656947583,3,3,0,2,0
492,377,0.8908990926587848,3,3,0,2,0
493,349,0.8908641975308642,3,3,0,2,0
494,304,0.8907627443464929,3,3,0,2,0
495,241,0.8905165345722875,3,3,0,2,0
496,340,0.8904707358315606,3,1,2,2,1
497,449,0.8905272321671472,3,3,0,2,0
498,270,0.8903068150963888,3,2,0,2,0
499,505,0.8904599382415082,3,3,0,2,0
500,367,0.8905346234931618,3,3,0,2,0
501,396,0.8906207863653525,3,3,0,2,0
502,177,0.8905938728261454,3,3,0,2,0
503,323,0.8903513484474052,3,3,0,2,0
504,250,0.8897705339909929,3,3,1,2,1
505,280,0.8895071967467494,3,2,0,2,0
506,382,0.889422820225319,3,3,0,2,0
507,312,0.8893920826895413,3,3,0,2,0
508,403,0.8896155686712395,3,2,0,2,0
509,357,0.8897792400764168,3,2,0,2,0
510,346,0.8895361152298242,3,3,0,2,0
511,292,0.8890239391217037,3,3,0,2,0
512,435,0.8891817798397301,3,3,0,2,0
513,334,0.8893507313479954,3,2,0,2,0
514,421,0.8895889116396283,3,3,2,2,0
515,393,0.8897097348842083,3,3,0,2,0
516,222,0.8896908834144045,3,2,1,0,1
517,141,0.8896839905980674,3,3,1,2,0
518,155,0.889520630118408,3,2,1,2,0
519,262,0.8893632529806841,3,3,0,2,0
520,230,0.8889524007482852,3,3,0,2,0
521,370,0.8888600767555233,3,3,0,2,0
522,405,0.8889176458408821,3,3,1,2,0
523,196,0.8886821705426357,3,1,2,2,0
524,344,0.8886596874838842,3,3,0,2,0
525,365,0.8886487599053206,3,3,0,2,0
526,259,0.8883068864581729,3,3,0,2,1
527,365,0.8881771126941014,3,3,0,2,0
528,394,0.8881841432225064,3,3,1,2,0
529,438,0.8881061766207249,3,3,0,2,0
530,403,0.8881699612798044,3,2,0,2,0
531,421,0.888233499440659,3,2,0,2,0
532,402,0.8879979700583608,3,3,1,2,0
533,406,0.8878646677471637,3,3,0,2,0
534,443,0.8878835363696103,3,2,0,2,0
535,281,0.8879131970729246,3,3,2,2,1
536,322,0.8878142159085185,3,3,0,2,0
537,314,0.8878105199637937,3,2,0,2,0
538,278,0.8876562421565183,3,2,1,2,0
539,309,0.8873246492985972,3,3,0,2,0
540,269,0.8871717929482371,3,3,0,2,1
541,274,0.8868866370488694,3,3,1,2,1
542,273,0.8865029146529819,3,3,0,2,0
543,296,0.8863523326370237,3,2,1,2,0
544,446,0.886280154869453,3,3,0,2,0
545,320,0.886279173480006,3,3,0,2,0
546,307,0.8863107900855884,3,3,0,2,1
547,478,0.8862940653698035,3,2,0,2,0
548,508,0.8863322822230981,3,3,0,2,0
549,226,0.8861176702085793,3,3,0,2,0
550,383,0.8859485467399842,3,3,0,2,0
551,481,0.8861230889847119,3,2,2,2,0
552,262,0.8860511766720486,3,2,0,2,0
553,375,0.8859751928899307,3,3,0,2,0
554,318,0.8858828117383251,3,1,0,2,0
555,365,0.8858727378867484,3,3,0,2,1
556,410,0.8856199631032139,3,3,0,2,0
557,93,0.8853651440209485,3,2,0,2,0
558,379,0.8852427278447316,3,3,0,2,1
559,442,0.8852284803400637,3,3,1,2,0
560,374,0.8851660801234151,3,3,0,2,0
561,302,0.885263259216479,3,3,0,2,0
562,261,0.885264017681257,3,3,0,2,0
563,231,0.8849714587230777,3,3,0,2,0
564,472,0.8852137283997894,3,2,0,2,0
565,257,0.8852090800477898,3,3,1,2,0
566,346,0.8850519889344654,3,3,0,2,0
567,329,0.8850109513379678,3,3,0,2,0
568,354,0.8850285171102662,3,3,0,2,0
569,369,0.8852101318660469,3,3,0,2,0
570,339,0.8852435733560574,3,3,0,2,0
571,327,0.8852296352296353,3,3,0,2,0
572,302,0.885163176759102,3,3,1,2,0
573,292,0.8851332266264946,3,3,0,2,0
574,298,0.8849732168029321,3,3,0,2,0
575,213,0.8846262076728262,3,3,0,2,0
576,173,0.8845901639344262,3,3,0,2,0
577,294,0.8846549466990836,3,3,0,2,0
578,342,0.8847356386205609,3,3,1,2,1
579,302,0.8847587106390907,3,3,2,2,1
580,278,0.8847709834922111,3,3,0,2,1
581,231,0.884720739124379,3,2,2,1,0
582,398,0.8847294292068199,3,3,0,2,0
583,239,0.8844641783451275,3,3,0,2,1
584,329,0.884533702677747,3,3,0,2,0
585,391,0.8845675314501635,3,3,0,2,0
586,365,0.8845499287061312,3,3,0,2,1
587,258,0.8845924225028703,3,3,1,2,0
588,389,0.884722922491635,3,3,2,2,1
589,202,0.8846928499496476,3,2,0,2,0
590,158,0.884657584346713,3,3,1,2,0
591,288,0.8843450479233227,3,3,1,2,1
592,279,0.8838162930563149,3,3,0,2,0
593,209,0.8834955872986989,3,3,2,0,1
594,376,0.8834589881006449,3,3,1,2,1
595,365,0.8835479775077091,3,3,2,2,1
596,158,0.8834186330902668,3,3,0,2,0
597,238,0.8832707702048754,3,2,0,2,0
598,282,0.8832746319877178,3,3,0,2,0
599,348,0.8833896777101645,3,3,2,2,0
600,108,0.8834151393704688,3,3,2,2,1
601,116,0.8833715647910764,3,1,0,0,0
602,453,0.8835308908045977,3,3,0,2,0
603,139,0.8835217079296734,3,1,2,0,1
604,307,0.8834855812287301,3,3,1,2,0
605,358,0.8835784861626503,3,3,0,2,0
606,337,0.8836659077719745,3,2,0,0,0
607,434,0.8837292214448059,3,3,0,2,0
608,513,0.8837685156354255,3,2,0,2,0
